time,parset,var,mean,median,q025,q975,q25,q75,date
2020.13689253936,3,N,8552471,8552471,8552471,8552471,8552471,8552471,2020-02-20
2020.13689253936,3,R,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,Rt,2.53738249938979,2.533642840846215,2.3131410052148667,2.7760823417139044,2.457983966644556,2.615566730344716,2020-02-20
2020.13689253936,3,S,8551872.4614,8551873,8551853,8551891,8551866,8551879,2020-02-20
2020.13689253936,3,tot_I,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,U_curr,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,U_d,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,U_s,0,0,0,0,0,0,2020-02-20
2020.13689253936,3,X,5.302771470301546,5.302382250063838,5.211330467872651,5.393764829220947,5.272065613380463,5.334204922040217,2020-02-20
2020.13963039014,1,a_D,2e-4,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_deltaH,0.0044,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_deltaID,0.0044,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_deltaU,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_DH,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_DI,2e-4,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_DU,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_H,0.0044,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_I,60.1143,60,45,76,55,65,2020-02-20
2020.13963039014,1,a_O,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_OU,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,a_U,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,D,2e-4,0,0,0,0,0,2020-02-20
2020.13963039014,1,E,342.7479,343,302,384,329,357,2020-02-20
2020.13963039014,1,H,4e-4,0,0,0,0,0,2020-02-20
2020.13963039014,1,H_curr,0.0044,0,0,0,0,0,2020-02-20
2020.13963039014,1,H_d,3.0000000000000003e-4,0,0,0,0,0,2020-02-20
2020.13963039014,1,H_s,0.0037,0,0,0,0,0,2020-02-20
2020.13963039014,1,I1,259.3266,259,234,285,250,268,2020-02-20
2020.13963039014,1,I2,207.8012,208,186,230,200,215,2020-02-20
2020.13963039014,1,I3,73.4178,73,59,89,68,79,2020-02-20
2020.13963039014,1,I_d,0.6263,0,0,2,0,1,2020-02-20
2020.13963039014,1,I_h,0.2647,0,0,2,0,0,2020-02-20
2020.13963039014,1,N,8552470.9954,8552471,8552471,8552471,8552471,8552471,2020-02-20
2020.13963039014,1,R,11.6731,11,6,19,9,14,2020-02-20
2020.13963039014,1,Rt,2.7596198579448736,2.7559576338264384,2.4730755561889755,3.0693293828333954,2.652507893023655,2.8606225239056604,2020-02-20
2020.13963039014,1,S,8551575.1378,8551575,8551530,8551620,8551560,8551591,2020-02-20
2020.13963039014,1,tot_I,60.1143,60,45,76,55,65,2020-02-20
2020.13963039014,1,U_curr,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,U_d,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,U_s,0,0,0,0,0,0,2020-02-20
2020.13963039014,1,X,5.3862682097731724,5.386489105874352,5.278186665700583,5.4941832208420145,5.348229692374633,5.423763392036182,2020-02-20
2020.13963039014,2,a_D,5e-4,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_deltaH,0.0046,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_deltaID,0.0046,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_deltaU,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_DH,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_DI,5e-4,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_DU,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_H,0.0046,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_I,55.1918,55,41,70,50,60,2020-02-20
2020.13963039014,2,a_O,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_OU,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,a_U,0,0,0,0,0,0,2020-02-20
2020.13963039014,2,D,5e-4,0,0,0,0,0,2020-02-20
2020.13963039014,2,E,316.1616,316,277,357,302,330,2020-02-20
2020.13963039014,2,H,9e-4,0,0,0,0,0,2020-02-20
2020.13963039014,2,H_curr,0.0046,0,0,0,0,0,2020-02-20
2020.13963039014,2,H_d,5e-4,0,0,0,0,0,2020-02-20
2020.13963039014,2,H_s,0.0032,0,0,0,0,0,2020-02-20
